ID;product_id;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached.on.Time_Y.N
1;20e5d9b7990b4bb18fe61a93e6e24d1f;D;Flight;4;2;177;3;low;F;44;1233;1
2;ab499f31d4107d87032c69e9b167f5f4;F;Flight;4;5;216;2;low;M;59;3088;1
3;f7adaf8dd9ce94de74cf5608ba7b4328;A;Flight;2;2;183;4;low;M;48;3374;1
4;630969aad711ada071365be5f437202a;B;Flight;3;3;176;4;medium;M;10;1177;1
5;05402d70fcc51bdd978cbb3527630ec5;C;Flight;2;2;184;3;medium;F;46;2484;1
6;cef35613f1368e172bc9302dab0fb3c4;F;Flight;3;1;162;3;medium;F;12;1417;1
7;676691ff3e47d5dd3ddad90482723b03;D;Flight;3;4;250;3;low;F;3;2371;1
8;4b6b86b2b3dc1365799a984f9513dfbf;F;Flight;4;1;233;2;low;F;48;2804;1
9;a4da47c69ca94bef80ee1801283c2a74;A;Flight;3;4;150;3;low;F;11;1861;1
10;6f6d806d7323322f47ad0984ecc92e8e;B;Flight;3;2;164;3;medium;F;29;1187;1
11;261cf236f4281151fcccf8f90e144147;C;Flight;3;4;189;2;medium;M;12;2888;1
12;10c53d9c0620fe9e4e1a03684a8db77b;F;Flight;4;5;232;3;medium;F;32;3253;1
13;0262c60542ea8f8845941e6307266afa;D;Flight;3;5;198;3;medium;F;1;3667;1
14;2434fbf809ca7b7d49b61317236f3a3c;F;Flight;4;4;275;3;high;M;29;2602;1
15;1d016233a79c98fd21eb8db2fa5a10c4;A;Flight;4;3;152;3;low;M;43;1009;1
16;4cbd5bd86ab2f21945ca289fc4c401d0;B;Flight;4;3;227;3;low;F;45;2707;1
17;e4abe6ef4daacd5ecdf764051d3fff30;C;Flight;3;4;143;2;medium;F;6;1194;1
18;642da87f444d8feef937009c6623431d;F;Ship;5;5;227;3;medium;M;36;3952;1
19;185ee148589af3c9857c5e203d23b634;D;Ship;5;5;239;3;high;M;18;2495;1
20;234c6e136f5c3e342ef33511b0e1e1d9;F;Ship;4;5;145;3;medium;M;45;1059;1
21;fc3eb66508110bae215190a776e98870;A;Ship;3;3;161;2;medium;F;38;1521;1
22;23f51e54be9179c79b79986a40eb1a6f;B;Ship;3;1;232;4;medium;F;51;2899;1
23;6b70f521923699fabc788cfd08379bd4;C;Ship;2;5;156;2;low;M;2;1750;1
24;55259e7b18b0f9c485d920d401dafed3;F;Ship;4;3;211;3;high;M;12;3922;1
25;f506eef90b58cccc8c113a784980c208;D;Ship;4;5;251;2;medium;F;28;3561;1
26;d037546770e3d44df20b5a8d06983502;F;Ship;3;1;225;4;low;M;29;3496;1
27;234d1a60ec15b5c0eb030570806e5289;A;Ship;4;1;172;3;high;F;24;1066;1
28;0b85b52c3c7867204d3f4bb460725a48;B;Ship;5;1;162;3;medium;M;31;1435;1
29;4781ae0132428131263f9bec70fb6096;C;Ship;2;3;234;4;low;M;44;3134;1
30;5d26b156688b9fa271225dda74884def;F;Ship;5;4;183;2;low;F;36;3819;1
31;69f30e82d0b2c222035396383c56376a;D;Ship;3;4;266;2;medium;F;38;2741;1
32;b9f5003f03b1f55883898e99d03e446c;F;Ship;5;3;257;2;low;F;61;3341;1
33;a6ea60a1fc81c8647b1e011ea6f0e066;A;Ship;3;1;223;3;low;F;22;3795;1
34;a51c818af8c95667bdd6f852b8f698bd;B;Ship;4;2;234;3;medium;M;4;3261;1
35;d0bf6e568e7918189f726a1b1d1d9378;C;Ship;4;2;227;4;medium;F;22;2460;1
36;680c9b4f9e4c0a369f6cf56b33c8b2bb;F;Ship;5;4;149;3;medium;F;44;1811;1
37;6fb4c438b7a5e6acd38f29f2b787ac9f;D;Ship;3;5;137;4;high;F;62;1477;1
38;4f071659d238aeadd9325cd25f6eb9d7;F;Ship;2;4;181;6;medium;F;16;3605;1
39;21bce002e54fb19f93ebb62350bfab1d;A;Ship;5;1;215;4;low;F;56;3905;1
40;46e17f2156a4634f7c77774279c90cad;B;Ship;4;2;269;5;low;F;45;2383;1
